image_name,captions
cat1_img1,a cup of coffee sitting on top of a couch
cat1_img2,a person holding a spoon and a bowl of fruit
cat1_img3,a laptop computer sitting on top of a wooden desk
cat1_img4,a person holding a cell phone in their hand
cat1_img5,a table topped with toys and toys on top of a floor
cat1_img6,a person laying on a blanket on the grass
cat1_img7,a row of white umbrellas hanging from a wall
cat1_img8,a beach scene with a surfboard and palm trees
cat1_img9,a bed with a lamp and a vase on top of it
cat1_img10,a person holding a pair of scissors in their hands
cat1_img11,a book is sitting on the ground next to a pile of books
cat1_img12,a kitchen counter with a bowl of food on it
cat1_img13,three women are sitting in a living room
cat1_img14,a fire hydrant sitting in the middle of a parking lot
cat1_img15,a bookshelf with books and a lamp
cat1_img16,a wooden log sitting on top of a tree stump
cat1_img17,a cup of coffee sitting on top of a table
cat1_img18,a collage of photos and pictures on a wall
cat1_img19,a clock sitting on top of a table next to a book
cat1_img20,a sewing machine sitting on top of a wooden table
cat1_img21,a table topped with plates and bowls of food
cat1_img22,two black and white cats standing on top of a window sill
cat1_img23,a shelf filled with different types of items
cat1_img24,a person holding a book in front of a tree
cat1_img25,a kitchen with a refrigerator and a stove
cat1_img26,a guitar case sitting on top of a wooden table
cat1_img27,a statue of a man sitting on top of a metal pole
cat1_img28,a keyboard and a guitar on a table
cat1_img29,a table topped with papers
cat1_img30,a basket filled with fruit on top of a table
cat1_img31,a person holding a pair of scissors in a kitchen
cat1_img32,a table with a glass of wine and a candle
cat1_img33,a person is using a calculator on a desk
cat1_img34,a kitchen sink filled with pots and pans
cat1_img35,a laptop computer sitting on top of a wooden desk
cat1_img36,a man and a woman standing on top of a mountain
cat1_img37,a table topped with lots of different types of books
cat1_img38,a cutting board with some vegetables on it
cat1_img39,a man holding a wii remote in his hand
cat1_img40,a person is cutting a piece of cloth on a table
cat1_img41,a large group of clothes hanging on a wall
cat1_img42,a table topped with papers
cat1_img43,a pair of scissors and a toothbrush on the ground
cat1_img44,a vase filled with flowers on top of a table
cat1_img45,a painting of a person holding a vase on a table
cat1_img46,a woman laying on the floor next to a suitcase
cat1_img47,a teddy bear sitting on top of a car
cat1_img48,a cup of coffee on a table next to a candle
cat1_img49,a pair of scissors sitting on top of a piece of paper
cat1_img50,a spoon is filled with a mixture of ingredients
cat1_img51,a cupcake with sprinkles on top of it
cat1_img52,a stack of books on top of each other
cat1_img53,a person holding a pair of scissors
cat1_img54,a person is holding a wii remote in their hand
cat1_img55,a cat sitting on a window sill next to a flower vase
cat1_img56,a collage of photos of a cat on a table
cat1_img57,a woman wearing a hat on a bus
cat1_img58,a small boat floating on top of a sandy beach
cat1_img59,two dogs sitting on a fence looking at the camera
cat1_img60,a wooden bench sitting next to a body of water
cat1_img61,a person holding a snowboard in the snow
cat1_img62,a pair of scissors sitting on top of a wooden desk
cat1_img63,a lit candle is lit on a table
cat1_img64,a variety of items are laid out on a table
cat1_img65,a clock sitting on top of a table next to a mirror
cat1_img66,a broken umbrella in the middle of a room
cat1_img67,a man standing in front of a camera holding a camera
cat1_img68,a woman holding a bunch of fruit in her hand
cat1_img69,a basket filled with fruits and vegetables on top of a table
cat1_img70,a man holding a newspaper in his right hand
cat1_img71,a white teddy bear sitting next to a pink teddy bear
cat1_img72,a bowl filled with lots of green and yellow stuff
cat1_img73,a kitchen counter with a bunch of fruit on it
cat1_img74,a white bowl sitting on top of a counter top
cat1_img75,a pair of scissors sitting on top of a table
cat1_img76,a blanket on the ground next to a tree
cat1_img77,a woman with a dog on a leash next to a fire hydrant
cat1_img78,a pile of broken shoes sitting on the ground
cat1_img79,a white bottle sitting on top of a sandy beach
cat1_img80,a person is holding up a colorful fire hydrant
cat1_img81,a motor scooter parked on the side of a road
cat1_img82,a person holding a cell phone in front of a car
cat1_img83,a bowl of food on a table
cat1_img84,a pile of clothes on top of a table
cat1_img85,a person reading a book on a cell phone
cat1_img86,a black and white photo of a person holding a camera
cat1_img87,a city street filled with lots of traffic
cat1_img88,an old fashioned musical instrument sitting on top of a wooden table
cat1_img89,a sign that is on top of a table
cat1_img90,a pair of scissors sitting on top of a table
cat1_img91,a black and white record player sitting on top of a table
cat1_img92,a person holding a bowl with a knife in it
cat1_img93,a sink with a soap dispenser next to it
cat1_img94,a bed with a blanket and pillows on it
cat1_img95,a glass vase sitting on top of a table
cat1_img96,a woman taking a picture of herself in the mirror
cat1_img97,a white vase with flowers on a table
cat1_img98,a table topped with lots of gardening supplies
cat1_img99,a person cutting a piece of paper with scissors
cat1_img100,a dog playing with a frisbee in the grass
cat2_img1,a pile of sand on the beach
cat2_img2,a mountain range with mountains in the distance
cat2_img3,a tree filled with lots of green leaves
cat2_img4,a tree filled with lots of green leaves
cat2_img5,a large flower in the middle of a field
cat2_img6,a herd of animals grazing on a lush green hillside
cat2_img7,a view from the top of a mountain
cat2_img8,a road that has some trees on it
cat2_img9,a boat floating on top of a body of water
cat2_img10,a blurry photo of a forest filled with trees
cat2_img11,a river filled with lots of water and trees
cat2_img12,a large body of water surrounded by rocks
cat2_img13,a lake with mountains and a mountain range
cat2_img14,a large building with a large clock tower
cat2_img15,a forest filled with lots of trees and shrubs
cat2_img16,a large body of water with a mountain behind it
cat2_img17,a sandy beach with a bunch of sandals on it
cat2_img18,a grassy field with a lake and some trees
cat2_img19,a field with a field with a field of flowers
cat2_img20,a flock of seagulls flying over a body of water
cat2_img21,a mountain range with a bridge over it
cat2_img22,a snowy mountain with a view of the ocean
cat2_img23,a lone animal standing in the middle of a grassy field
cat2_img24,a lighthouse sitting on top of a rocky hillside
cat2_img25,a snowy mountain range with snow capped mountains
cat2_img26,a herd of wildflowers in a field
cat2_img27,a snowboarder flying through the air over a mountain
cat2_img28,a mountain range with a sky background
cat2_img29,a beach scene with the sun setting on the horizon
cat2_img30,a forest filled with lots of trees and shrubs
cat2_img31,a dirt road with a rock wall and mountains
cat2_img32,a bridge over a river with a waterfall
cat2_img33,a snow covered field with a river and trees
cat2_img34,a road that has a bunch of trees on it
cat2_img35,a road that has some trees on it
cat2_img36,an old wooden cabin with a snow covered cabin
cat2_img37,a mountain range with a sky background
cat2_img38,a herd of cattle grazing on a lush green hillside
cat2_img39,a zebra standing on top of a lush green hillside
cat2_img40,a forest filled with lots of trees and shrubs
cat2_img41,a field filled with lots of green and yellow flowers
cat2_img42,a sky view of a sunset on a cloudy day
cat2_img43,a lake with a blue sky and a lighthouse
cat2_img44,a bird perched on top of a palm tree
cat2_img45,a small boat in the middle of the ocean
cat2_img46,a park bench sitting in the middle of a park
cat2_img47,a mountain range with a sky background
cat2_img48,a man standing on a beach with a fire hydrant
cat2_img49,a row of red and white flowers on a sidewalk
cat2_img50,people standing on top of a dirt road
cat2_img51,a herd of horses running along a dirt road
cat2_img52,a herd of zebra standing on top of a dry grass field
cat2_img53,a small bird flying over a field of grass
cat2_img54,a rock wall with a bird perched on top of it
cat2_img55,two ducks are walking down a sidewalk near a bench
cat2_img56,a flock of birds flying over a field of grass
cat2_img57,a mountain range with snow capped mountains
cat2_img58,a penguin standing on top of a pile of rocks
cat2_img59,a small pond with a bunch of pink flowers in it
cat2_img60,a herd of cattle grazing in a grassy field
cat2_img61,a row of boats in the water near a rock wall
cat2_img62,a black and white photo of a black and white fire hydrant
cat2_img63,a sky filled with lots of colorful clouds
cat2_img64,a pile of flowers sitting on top of a rock
cat2_img65,a tree filled with lots of trees next to a forest
cat2_img66,a snowy landscape with a lake and mountains
cat2_img67,a body of water filled with lots of small boats
cat2_img68,a body of water filled with lots of water
cat2_img69,a boat floating on top of a lush green hillside
cat2_img70,a small tree in the middle of a forest
cat2_img71,a flock of geese standing on top of a lush green field
cat2_img72,a large rock wall in the middle of a forest
cat2_img73,a lake filled with lots of water next to a body of water
cat2_img74,people riding rafts down a river
cat2_img75,a forest filled with lots of trees and shrubs
cat2_img76,a woman running with a frisbee in a park
cat2_img77,a bird standing on top of a lush green field
cat2_img78,a number of small blue and white seagulls floating on top of
cat2_img79,a dog and a man walking along a beach
cat2_img80,a river filled with water surrounded by trees and shrubbery
cat2_img81,a small boat on a lake with trees
cat2_img82,a small tree is in the middle of the desert
cat2_img83,a fountain in the middle of a park
cat2_img84,a wooden bench sitting in the middle of a park
cat2_img85,a herd of animals standing on top of a sandy beach
cat2_img86,a herd of elephants standing on top of a lush green field
cat2_img87,a bird flying over a body of water
cat2_img88,a red and white fire hydrant in the middle of a field
cat2_img89,a tree filled with lots of leaves in the snow
cat2_img90,a river flowing through a forest filled with boulders
cat2_img91,a sheep standing on top of a lush green field
cat2_img92,a brown and white bird sitting on top of a green plant
cat2_img93,a forest filled with trees and bushes
cat2_img94,a herd of cattle grazing on a dry grass covered field
cat2_img95,a man standing on top of a log next to a tree
cat2_img96,a field full of tall grass with a sky background
cat2_img97,a woman standing on top of a lush green field
cat2_img98,a large body of water with a surfboard on top of it
