image_name,captions
cat1_img1,a photography of a cup of tea and a book
cat1_img2,a photography of a woman pouring tea into a cup
cat1_img3,a photography of a desk with a laptop a pen
cat1_img4,a photography of a man's hand on a smart watch
cat1_img5,a photography of a child playing with toys
cat1_img6,a photography of a man laying on the grass
cat1_img7,a photography of clothes hanging on a clothesline
cat1_img8,a photography of a beach scene
cat1_img9,a photography of a bedside with a lamp and a plant
cat1_img10,a photography of a person holding a book in their hands
cat1_img11,a photography of a book and a pen on a blanket
cat1_img12,a photography of a kitchen with a bowl of pasta and a wooden spoon
cat1_img13,a photography of three girls sitting on a couch
cat1_img14,a photography of candles in a church
cat1_img15,a photography of a book and lamp
cat1_img16,a photography of a backpack on a tree stump
cat1_img17,a photography of a cup of coffee on a stack of books
cat1_img18,a photography of a wall full of old and new items
cat1_img19,a photography of a lamp a pen
cat1_img20,a photography of a sewing machine
cat1_img21,a photography of a table set for a dinner
cat1_img22,a photography of a cat sitting on a chair
cat1_img23,a photography of old radio radios
cat1_img24,a photography of a book held in a tree
cat1_img25,a photography of a dark room with a door open
cat1_img26,a photography of a ukulele
cat1_img27,a photography of a camera on a table in front of a window overlooking the city of Tokyo
cat1_img28,a photography of a person playing a guitar
cat1_img29,a photography of a map compass and other items
cat1_img30,a photography of a basket of yarn and knitting needles
cat1_img31,a photography of a woman painting on a table
cat1_img32,a photography of a table with a candle and a mirror
cat1_img33,a photography of a person writing on a tablet
cat1_img34,a photography of a cook preparing food in a restaurant kitchen
cat1_img35,a photography of a desk with a laptop headphones and a lamp
cat1_img36,a photography of a couple sitting on a mountain
cat1_img37,a photography of a photo album with a pen and a pen
cat1_img38,a photography of a cutting board with fresh herbs and garlic
cat1_img39,a photography of a man pouring water into a glass
cat1_img40,a photography of a woman wrapping a Christmas present
cat1_img41,a photography of a coat rack
cat1_img42,a photography of a New Year's resolutions
cat1_img43,a photography of a flower pot and gardening tools
cat1_img44,a photography of a perfume bottle and flowers
cat1_img45,a photography of a woman painting
cat1_img46,a photography of a woman packing clothes in a suitcase
cat1_img47,a photography of a teddy bear on top of a red Volkswagen Beetle
cat1_img48,a photography of a teacup and a book on a table
cat1_img49,a photography of a pen ink and a candle
cat1_img50,a photography of a spoon in a bowl of powder
cat1_img51,a photography of a cup of hot chocolate with a snowman cookie on top
cat1_img52,a photography of books on a shelf
cat1_img53,a photography of a hand holding a pair of orange dumbbells
cat1_img54,a photography of a person holding a toothbrush
cat1_img55,a photography of a cat and sunflowers
cat1_img56,a photography of a flower arrangement
cat1_img57,a photography of a woman wearing headphones on a train
cat1_img58,a photography of a small boat on a map
cat1_img59,a photography of monkeys on a fence
cat1_img60,a photography of a picnic table on the shore of Lake Champlain
cat1_img61,a photography of a woman's hand reaching out of a car window in the snow
cat1_img62,a photography of a desk with a computer and a stethoscope
cat1_img63,a photography of two candles
cat1_img64,a photography of a camera and other equipment
cat1_img65,a photography of a telephone
cat1_img66,a photography of a broom and a chair
cat1_img67,a photography of a man filming a video
cat1_img68,a photography of a person holding a bag of fruit
cat1_img69,a photography of a person holding a jar of food
cat1_img70,a photography of a boy reading a newspaper
cat1_img71,a photography of two pink teddy bears
cat1_img72,a photography of a green bowl full of dirty laundry
cat1_img73,a photography of a sewing studio
cat1_img74,a photography of a kitchen counter with dishes and cups
cat1_img75,a photography of a pair of earrings
cat1_img76,a photography of a tree with a blanket wrapped around it
