Image Name,Annotation 1 (Human - Ground Truth),Vit-Gpt2,BLIP(Conditional),BLIP (UNCONDITIONAL),GIT
1,Book on a sofa with a cup of coffee,a cup of coffee sitting on top of a couch,a photography of a cup of tea and a book,a cup of tea and a book on a couch,a cup of tea and a pillow with a pillow
2,Phone on a kitchen counter during breakfast,a person holding a spoon and a bowl of fruit,a photography of a woman pouring tea into a cup,a woman pouring tea into a cup,a woman pouring tea into a cup
3,Laptop on a desk with notes and pens scattered,a laptop computer sitting on top of a wooden desk,a photography of a desk with a laptop a pen,"a desk with a laptop, a phone and other items","a desk with a laptop, a wooden box, a box and a small box with a pencil and a pencil."
4,Wristwatch on a hand holding a steering wheel,a person holding a cell phone in their hand,a photography of a man's hand on a smart watch,a man driving a car with his hand on the steering,a man's hand on a steering wheel of a car
5,Toy blocks scattered on a play mat,a table topped with toys and toys on top of a floor,a photography of a child playing with toys,a child playing with toys on the floor,a child's playroom with toys and toys
6,Headphones on a man at a park,a person laying on a blanket on the grass,a photography of a man laying on the grass,a man laying on the grass,a man laying on a blanket while listening to music
7,Clothes hanging on a clothesline with blue sky in the background,a row of white umbrellas hanging from a wall,a photography of clothes hanging on a clothesline,clothes hanging on a clothes line outside a house,laundry hanging on a line in the village
8,"Sunglasses , hat on a beach towel by the sea",a beach scene with a surfboard and palm trees,a photography of a beach scene,summer beach background with palm leaves and sun hat,palm tree on the beach
9,Smartphone charging on a nightstand with a lamp,a bed with a lamp and a vase on top of it,a photography of a bedside with a lamp and a plant,a lamp on a nightstand next to a bed,a bedside table with a lamp and a plant
10,Open book with a forest in the background,a person holding a pair of scissors in their hands,a photography of a person holding a book in their hands,hands in blue gloves holding open book,hands of a woman reading a book
11,Pen and notebook on a picnic blanket,a book is sitting on the ground next to a pile of books,a photography of a book and a pen on a blanket,a book and a pen on a blanket,a book and a book on a grass field.
12,Kitchen utensils next to a cutting board with a bowl of cereal,a kitchen counter with a bowl of food on it,a photography of a kitchen with a bowl of pasta and a wooden spoon,a bowl of food on a counter in a kitchen,a bowl of food is on a counter top.
13,group of friends playing games with controller sitting in a sofa with snacks around the table,three women are sitting in a living room,a photography of three girls sitting on a couch,three girls sitting on a couch with remotes,a group of people sitting around a table playing a video game.
14,a candle on a countertop with reflection on the wall,a fire hydrant sitting in the middle of a parking lot,a photography of candles in a church,candles in a church,candles in a bathtub
15,Table lamp illuminating an open book with spectacles on top,a bookshelf with books and a lamp,a photography of a book and lamp,an open book on a table with a lamp,open book and a lamp on a table
16,Backpack on a park bench with autumn leaves around,a wooden log sitting on top of a tree stump,a photography of a backpack on a tree stump,a backpack sitting on a tree stump in the woods,backpack sitting on a log in the forest.
17,Coffee mug on top of stacked books on a windowsill with rain outside,a cup of coffee sitting on top of a table,a photography of a cup of coffee on a stack of books,a cup of coffee sits on a stack of books,coffee cup on a rainy day
18,Clock on a wall surrounded by picture frames,a collage of photos and pictures on a wall,a photography of a wall full of old and new items,a wall with many pictures and pictures on it,a wall with pictures and a clock on it
19,Alarm clock on a bedside table with books and lamp,a clock sitting on top of a table next to a book,a photography of a lamp a pen,"a lamp, a vase of flowers and a book on a table",a clock sitting on top of a stack of books.
20,Sewing machine with fabric and tools,a sewing machine sitting on top of a wooden table,a photography of a sewing machine,a sewing machine sitting on top of a table,a sewing machine is on a table with clothes on it.
21,Candles on a dining table set for dinner,a table topped with plates and bowls of food,a photography of a table set for a dinner,a table with a candle and plates of food,a dining room table with a centerpiece and candles.
22,Shoes by the door with sunlight streaming in,two black and white cats standing on top of a window sill,a photography of a cat sitting on a chair,a black cat sitting on a chair in a window,two pairs of shoes sitting on a shelf in a store window.
23,Many Vintage radio on a wooden shelf with compartments,a shelf filled with different types of items,a photography of old radio radios,a shelf full of old radio's,a collection of old radios on a shelf.
24,Hand holding a book in a garden,a person holding a book in front of a tree,a photography of a book held in a tree,a person holding a book in their hand,"I'm not sure what this book is, but it's in the garden."
25,Washing machine with clothes visible through the door,a kitchen with a refrigerator and a stove,a photography of a dark room with a door open,a room with a door and a window,a yellow room with a yellow wall and a white door
26,Guitar in a bed ,a guitar case sitting on top of a wooden table,a photography of a ukulele,a ukulele ukulele ukulele ukulele ukulele ukulele ukulele ukulele ukulele,a guitar sitting on a table next to a chair.
27,Telescope facing out a window with a city view,a statue of a man sitting on top of a metal pole,a photography of a camera on a table in front of a window overlooking the city of Tokyo,a robot sitting on top of a building,a view of a city from a window.
28,man playing guitar in front of a keyboard with musical sheets on top of it ,a keyboard and a guitar on a table,a photography of a person playing a guitar,a person playing an electric guitar on a piano,a woman plays a guitar with a guitar.
29,Wristwatch resting on a map with travel items,a table topped with papers,a photography of a map compass and other items,"a map, compass, and other items on a table",a map with a compass and a pocket watch
30,Basket filled with yarn and knitting needles,a basket filled with fruit on top of a table,a photography of a basket of yarn and knitting needles,a basket with yarn and knitting needles on a table,I'm going to make this basket for my next project.
