image_name,captions
cat1_img1,Book on a sofa with a cup of coffee
cat1_img2,Phone on a kitchen counter during breakfast
cat1_img3,Laptop on a desk with notes and pens scattered
cat1_img4,Wristwatch on a hand holding a steering wheel
cat1_img5,Toy blocks scattered on a play mat
cat1_img6,Headphones on a man at a park
cat1_img7,Clothes hanging on a clothesline with blue sky in the background
cat1_img8,"Sunglasses , hat on a beach towel by the sea"
cat1_img9,Smartphone charging on a nightstand with a lamp
cat1_img10,Open book with a forest in the background
cat1_img11,Pen and notebook on a picnic blanket
cat1_img12,Kitchen utensils next to a cutting board with a bowl of cereal
cat1_img13,group of friends playing games with controller sitting in a sofa with snacks around the table
cat1_img14,a candle on a countertop with reflection on the wall
cat1_img15,Table lamp illuminating an open book with spectacles on top
cat1_img16,Backpack on a park bench with autumn leaves around
cat1_img17,Coffee mug on top of stacked books on a windowsill with rain outside
cat1_img18,Clock on a wall surrounded by picture frames
cat1_img19,Alarm clock on a bedside table with books and lamp
cat1_img20,Sewing machine with fabric and tools
cat1_img21,Candles on a dining table set for dinner
cat1_img22,Shoes by the door with sunlight streaming in
cat1_img23,Many Vintage radio on a wooden shelf with compartments
cat1_img24,Hand holding a book in a garden
cat1_img25,Washing machine with clothes visible through the door
cat1_img26,Guitar in a bed 
cat1_img27,Telescope facing out a window with a city view
cat1_img28,man playing guitar in front of a keyboard with musical sheets on top of it 
cat1_img29,Wristwatch resting on a map with travel items
cat1_img30,Basket filled with yarn and knitting needles
cat1_img31,"girl taking brush from Mason jar filled with pencils and brushes"
cat1_img32,Small globe with a two glasses and a candle beside it
cat1_img33,Drawing tablet with a stylus and digital art on the screen
cat1_img34,Cooking pot on a stove with steam rising
cat1_img35,Lamp illuminating a headphone and a laptop with tangled cord
cat1_img36,Two people lying with boots and mountains in background
cat1_img37,Travel journal with notes and photos lying around
cat1_img38,Chopping board with fresh herbs and a chef’s knife
cat1_img39,A man using a hand sanitizer
cat1_img40,Pair of scissors and wrapping paper on a gift table with a girl in background
cat1_img41,Many jackets hanging on the wall 
cat1_img42,Fountain pen on top of handwritten letters
cat1_img43,Pair of gloves with gardening tools on the floor
cat1_img44,Perfume bottle with a bouquet in the background
cat1_img45,Art easel with a painting in progress
cat1_img46,Suitcase half-packed with clothes spilling out beside a girl
cat1_img47,Fluffy toy teddy bear above a small two seater car
cat1_img48,Ceramic teapot with steam rising and a plate of cookies on a table with a candle
cat1_img49,Feather quill in an ink bottle next to an calligraphy letter
cat1_img50,Wooden spoon in a mixing bowl with flour and ingredients
cat1_img51,Mug with hot chocolate and marshmallows on table with decorations in background
cat1_img52,Bookends holding books on a shelf
cat1_img53,Wristband fitness tracker on a wrist holding a dumbbell
cat1_img54,Electric toothbrush charging on a wall outlet
cat1_img55,A vase of sunflower in the window sill beside a cat staring outside the window
cat1_img56,A notebook with many picture beside a small plant next to it on a table
cat1_img57,A man wearing a beanie and  headphones using a laptop in a train on a winter day
cat1_img58,A toy ship above the world map on a table
cat1_img59,Two monkeys sitting on a fence on top of the hill with valley in background
cat1_img60,Wooden picnic table in a shade with lake and hills in background
cat1_img61,A hand touching the snow on top of the car
cat1_img62,Stethoscope on a table next to computer keyboard
cat1_img63,Candle holder with a lit candle in a dark room
cat1_img64,"A full camera set with flash, tripod, lens, battery, mike, strap, filters disassembled in a table."
cat1_img65,Old phone with a rotary dial on a side table
cat1_img66,Broom and a plastic high chair leaning against a wall in a rustic room
cat1_img67,A professional camera in a tripod with a street background
cat1_img68,Reusable grocery bags filled with fresh vegetables
cat1_img69,Tote bag with groceries and two mason jar of grains
cat1_img70,A man wearing sunglasses reading a newspaper with crosswords all over the page
cat1_img71,Two Teddy bear on a child’s bed
cat1_img72,Laundry basket full of freshly washed clothes
cat1_img73,A sewing station with threads hung in the board and a sewing machine in a table below it
cat1_img74,Collection of ceramic bowls and cups stacked on a kitchen shelf
cat1_img75,Pair of earrings on a table next to fallen leaves
cat1_img76,Hammock tied in a shade of a tree
cat1_img77,A dog and a person wearing  yellow raincoat and  yellow rain boots
cat1_img78,Pair of boots with mud on a doormat in stairs
cat1_img79,Jar of seashells collected from the beach
cat1_img80,Dartboard with darts in the middle of a game
cat1_img81,A vintage scooter with a lot of stickers beside a countryside road
cat1_img82,Tablet on a dashboard of a car with navigation on
cat1_img83,A chess board on a table with pieces scattered and a cup with ice tea in the board
cat1_img84,Ironing board with clothes ready to iron and shirts hanging from the iron board
cat1_img85,Magnifying glass examining an old text 
cat1_img86,A keychain with the key in a lock on a door
cat1_img87,A fogged glass window on a rainy day with road and building view
cat1_img88,"An antique fan ,two radio and some flowers in an shelf of a rustic house"
cat1_img89,Chalkboard with a list written on it
cat1_img90,Paintbrushes in a jar with splattered paint around
cat1_img91,vinyl record spinning on a record player
cat1_img92,A person using a singing bowl
cat1_img93,Hairdryer mounted on the wall next to a bathroom sink
cat1_img94,Pair of slippers next to a bed with a nightstand
cat1_img95,Bottle of essential oil next to scented candles
cat1_img96,A woman looking at the sea through a modern sophisticated binoculars
cat1_img97,Cosmetic bottles in a line in a table next to a vase
cat1_img98,Potted cactus with a watering can next to it in a nursery table
cat1_img99,Puzzle pieces of a world map mid-assembly on a table
cat1_img100,A puppy with a ball attached to a string holding in its mouth
cat2_img1,Sandy beach with driftwood and seashells at low tide
cat2_img2,Golden sunset over a mountain range with a river winding below
cat2_img3,Tropical rainforest canopy with sunbeams filtering through
cat2_img4,Cactus plants under a bright desert sky
cat2_img5,Dew-covered spider web in a meadow at sunrise
cat2_img6,Tropical rainforest canopy with sunbeams filtering through
cat2_img7,Mountain valley covered in wildflowers in spring
cat2_img8,Winding country road with tall trees lining both sides
cat2_img9,Sunset over a lake with reeds in the foreground
cat2_img10,Misty forest path with autumn leaves scattered around
