image_name,captions
cat1_img1,a cup of tea and a book on a couch
cat1_img2,a woman pouring tea into a cup
cat1_img3,"a desk with a laptop, a phone and other items"
cat1_img4,a man driving a car with his hand on the steering
cat1_img5,a child playing with toys on the floor
cat1_img6,a man laying on the grass
cat1_img7,clothes hanging on a clothes line outside a house
cat1_img8,summer beach background with palm leaves and sun hat
cat1_img9,a lamp on a nightstand next to a bed
cat1_img10,hands in blue gloves holding open book
cat1_img11,a book and a pen on a blanket
cat1_img12,a bowl of food on a counter in a kitchen
cat1_img13,three girls sitting on a couch with remotes
cat1_img14,candles in a church
cat1_img15,an open book on a table with a lamp
cat1_img16,a backpack sitting on a tree stump in the woods
cat1_img17,a cup of coffee sits on a stack of books
cat1_img18,a wall with many pictures and pictures on it
cat1_img19,"a lamp, a vase of flowers and a book on a table"
cat1_img20,a sewing machine sitting on top of a table
cat1_img21,a table with a candle and plates of food
cat1_img22,a black cat sitting on a chair in a window
cat1_img23,a shelf full of old radio's
cat1_img24,a person holding a book in their hand
cat1_img25,a room with a door and a window
cat1_img26,a ukulele ukulele ukulele ukulele ukulele ukulele ukulele ukulele ukulele
cat1_img27,a robot sitting on top of a building
cat1_img28,a person playing an electric guitar on a piano
cat1_img29,"a map, compass, and other items on a table"
cat1_img30,a basket with yarn and knitting needles on a table
cat1_img31,a person is painting on a table
cat1_img32,a table with a candle and a mirror
cat1_img33,a person is writing on a paper while sitting at a desk
cat1_img34,a person cooking food in a kitchen
cat1_img35,a laptop computer and headphones on a desk
cat1_img36,a person sitting on top of a mountain
cat1_img37,a pile of polaroids and polaroids
cat1_img38,a cutting board with chopped herbs and garlic
cat1_img39,a man is pouring water into a glass
cat1_img40,a woman wrapping a Christmas present on a table
cat1_img41,a room with a bunch of coats hanging on the wall
cat1_img42,"a desk with a note and pen, a cup of coffee, and a pen on it"
cat1_img43,a pot of plants and gardening tools on the ground
cat1_img44,a bottle of perfume sitting on top of a table
cat1_img45,a woman painting on a canvas
cat1_img46,a woman sitting on the floor with her luggage
cat1_img47,a teddy bear sitting on top of a car
cat1_img48,a table with a tea cup and a book
cat1_img49,a pen and ink on a piece of paper
cat1_img50,a spoon full of powder and a wooden spoon full of powder
cat1_img51,a cup of hot chocolate with a snowman on top
cat1_img52,books on a shelf with a white sculpture
cat1_img53,a person holding a pair of orange dumbbells
cat1_img54,a person is holding a toothbrush in their hand
cat1_img55,a cat laying on a window sill next to a vase of sunflowers
cat1_img56,a photo album with flowers and photos
cat1_img57,a woman sitting on a train looking at her laptop
cat1_img58,a small boat on a map with a map in the background
cat1_img59,two monkeys sitting on a fence looking out over the mountains
cat1_img60,picnic table at the lake
cat1_img61,a person's hand reaches out from the hood of a car covered in snow
cat1_img62,a black strap on a desk
cat1_img63,three candles are lit in the dark
cat1_img64,"a camera, a camera lens, and other accessories"
cat1_img65,a telephone sitting on a table next to a wall
cat1_img66,a broom and a chair in an old room
cat1_img67,a man is filming a movie on a trip
cat1_img68,a person holding a bag with fruit inside
cat1_img69,a person holding a jar of food with a bag of vegetables
cat1_img70,a man reading a newspaper while sitting on a chair
cat1_img71,two stuffed animals sitting on top of a bed
cat1_img72,a green bowl filled with dirty laundry
cat1_img73,a sewing machine and a mannequin on a table
cat1_img74,a shelf filled with bowls and plates
cat1_img75,black and white earrings with pink beads
cat1_img76,a blanket is tied to a tree in the middle of a field
cat1_img77,a woman in yellow raincoat and boots with her dog
cat1_img78,a man in a red shirt and a black hat
cat1_img79,a bottle on the beach with a message
cat1_img80,a man is playing darts
cat1_img81,a scissors scissors scissors scissors scissors scissors
cat1_img82,a person using a GPS device in the car
cat1_img83,a game board with a cup of tea and carrots on it
cat1_img84,a clothes rack with clothes and a shirt on it
cat1_img85,a person holding a magnifying glass in their hand
cat1_img86,a door handle on a door
cat1_img87,a view of a street through a window
cat1_img88,a room with a fan and some old furniture
cat1_img89,a blackboard with a chalkboard on it
cat1_img90,a glass filled with paint and brushes
cat1_img91,a turntable turntable turntable turntable turntable
cat1_img92,a woman is cooking a bowl with a spoon
cat1_img93,a bathroom with a sink and red shutters
cat1_img94,a bed with white sheets and pillows on it
cat1_img95,a bottle of perfume sitting on a table
cat1_img96,a woman looking through a telescope
cat1_img97,a white vase with a bottle of liquid and body care products on a marble table
cat1_img98,a table with gardening tools and plants
cat1_img99,a person is making a puzzle
cat1_img100,a small dog is walking in the grass
cat2_img1,a beach with shells and seaweed on the sand
cat2_img2,the sun shines on the mountains and valleys in the rocky valley
cat2_img3,a sunbeam in the rainforest
cat2_img4,a cactus plant with a blue sky in the background
cat2_img5,a spider web in the middle of a field
cat2_img6,a sunrise over the hills
cat2_img7,a view of a mountain with flowers in the foreground
cat2_img8,a path through an orchard
cat2_img9,a wooden dock
cat2_img10,a path through a forest with fog
cat2_img11,a waterfall in the middle of a forest
cat2_img12,a cliff with a small house on top of it
cat2_img13,a mountain with a lake in front of it
cat2_img14,a view of the city from a high-rise building in the fog
cat2_img15,a forest with lots of trees and some leaves
cat2_img16,the aurora borealis in the night sky
cat2_img17,a person walking across a desert
cat2_img18,a small pond in the middle of a grassy field
cat2_img19,"lavender field in Provence, France"
cat2_img20,a group of birds flying over a body of water
cat2_img21,"the Grand Canyon, Colorado"
cat2_img22,a lake surrounded by trees and mountains
cat2_img23,a deer standing in the middle of a forest
cat2_img24,a lighthouse on a rocky shore
cat2_img25,a snowy town with a mountain in the background
cat2_img26,a field of wheat under a cloudy sky
cat2_img27,a bird flying over a mountain range
cat2_img28,the sun sets over the mountains in the Blue Ridge area
cat2_img29,a beach with waves crashing on the sand
cat2_img30,autumn leaves falling from trees
cat2_img31,a large rock formation in the desert
cat2_img32,the old stone bridge in the gorge of the river
cat2_img33,a river with snow-covered trees and a bridge
cat2_img34,the Fraser River in British Columbia
cat2_img35,a road with trees and a foggy sky
cat2_img36,a small cabin in the middle of a snowy forest
cat2_img37,a view of the mountains and clouds from a balcony
cat2_img38,a group of horses grazing in a grassy field
cat2_img39,"rice terraces in the mountains of Sapa, Vietnam"
cat2_img40,a bride and groom in the woods
cat2_img41,a vineyard in the countryside of Alsace
cat2_img42,a rainbow appears over the Santa Catalina Mountains
cat2_img43,the sky is blue
cat2_img44,palm trees blowing in the wind
cat2_img45,a man in a boat at sunset
cat2_img46,a bench in the snow with a street light
cat2_img47,a view of mountains and valleys from the top of a mountain
cat2_img48,a man and woman dancing around a bonfire on the beach
cat2_img49,cherry trees in bloom along a road
cat2_img50,a group of people walking on a dirt road
cat2_img51,camel ride in the Sahara
cat2_img52,a group of zebras
cat2_img53,a hot air balloon flying over a green field
cat2_img54,aerial view of the river
cat2_img55,a bench in the middle of a park
cat2_img56,a flock of birds flying over a field
cat2_img57,a mountain covered in snow
cat2_img58,a turtle swimming in the ocean
cat2_img59,lotus flower in the water
cat2_img60,a herd of bison grazing in a grassy field
cat2_img61,a man diving in a lake with a boat
cat2_img62,a large geyser in the middle of a field
cat2_img63,a large field of sunflowers under a stormy sky
cat2_img64,a cactus with pink flowers in the desert
cat2_img65,bamboo trees in the forest
cat2_img66,ice on the water in the middle of a lake
cat2_img67,a large pond surrounded by trees in the middle of a forest
cat2_img68,a bird flying over a puddle in the rain
cat2_img69,a boat in the water near a cliff
cat2_img70,a tree with roots growing on a rock
cat2_img71,two swans in a lake
cat2_img72,a large rock formation with a hole in the middle
cat2_img73,a bird is sitting on the grass by the water
cat2_img74,two people kayaking down the river
cat2_img75,a fallen tree in the woods with fog
cat2_img76,a little girl flying a kite on the beach
cat2_img77,a white bird standing in the middle of a body of water
cat2_img78,a school of fish swimming in the ocean
cat2_img79,a man and a dog walking on the beach
cat2_img80,a small stream in the woods with moss and trees
cat2_img81,a woman sitting on a boat in a lake
cat2_img82,a dead tree in the middle of a desert
cat2_img83,a fountain with flowers and a statue
cat2_img84,a couple of benches sitting on top of a gravel field
cat2_img85,camels in the desert
cat2_img86,a large tree in the distance
cat2_img87,a whale swimming in the ocean near the shore
cat2_img88,a windmill and red tulips in the foreground
cat2_img89,a large tree covered in snow
cat2_img90,a waterfall in the middle of a canyon
cat2_img91,a goat in a field next to a wooden house
cat2_img92,a brown butterfly sitting on a green leaf
cat2_img93,birch trees in autumn
cat2_img94,a field of hay
cat2_img95,a rock in the woods
cat2_img96,a field with a few wind turbines in the distance
cat2_img97,a woman standing in a lavender field
cat2_img98,a bird flying over the ocean with waves
cat2_img99,a close-up of a beach with waves
cat2_img100,a small fish swimming in the ocean
