image_name,conditional_image_captioning,unconditional_image_captioning
"['cat1_img41', 'jpeg']",a photography of a coat rack,a room with a bunch of coats hanging on the wall
"['cat1_img57', 'jpeg']",a photography of a woman wearing headphones on a train,a woman sitting on a train looking at her laptop
"['cat1_img94', 'jpeg']",a photography of a bedroom with a bed and a rug,a bed with white sheets and pillows on it
"['cat1_img82', 'jpeg']",a photography of a person using a gps device,a person using a gps device in the car
"['cat1_img1', 'jpeg']",a photography of a cup of tea and a book,a cup of tea and a book on a couch
"['cat1_img64', 'jpg']","a photography of a camera, a camera and other equipment","a camera, a camera lens and other accessories"
"['cat1_img20', 'jpeg']",a photography of a sewing machine,a sewing machine sitting on top of a table
"['cat1_img98', 'jpeg']",a photography of a garden table with gardening tools,a table with gardening tools and plants
"['cat1_img77', 'jpeg']",a photography of a woman in yellow raincoats and black boots with her dog,a woman in yellow raincoat and boots with her dog
"['cat1_img61', 'jpeg']",a photography of a woman's hand reaching out of a car window in the snow,a person's hand reaches out from the hood of a car covered in snow
"['cat1_img36', 'jpeg']",a photography of a couple sitting on a mountain,a person sitting on top of a mountain
"['cat1_img37', 'jpeg']",a photography of a photo album with a pen and a pen,a pile of polaroids and polar polar polar polar polar polar polar polar polar polar polar polar polar
"['cat1_img49', 'jpg']","a photography of a pen, ink and a candle",a pen and ink on a piece of paper
"['cat1_img99', 'jpeg']",a photography of a person making a puzzle,a person is making a puzzle
"['cat1_img76', 'jpeg']",a photography of a tree with a blanket wrapped around it,a blanket is tied to a tree in the middle of a field
"['cat1_img21', 'jpeg']",a photography of a table set for a dinner,a table with a candle and plates of food
"['cat1_img60', 'jpg']",a photography of a picnic table on the shore of lake champal,picnic table at the lake
"['cat1_img62', 'jpg']",a photography of a desk with a computer and a stel,a black strap on a desk
"['cat1_img83', 'jpeg']",a photography of a game of chess with a cup of tea and a game of chess,a game board with a cup of tea and carrots on it
"['cat1_img100', 'jpeg']",a photography of a puppy playing with a toy,a small dog is walking in the grass
"['cat1_img95', 'jpeg']",a photography of a perfume bottle with a candle and a glass,a bottle of perfume sitting on a table
"['cat1_img56', 'jpeg']",a photography of a flower arrangement,a photo album with flowers and photos
"['cat1_img63', 'jpg']",a photography of two candles,three candles are lit in the dark
"['cat1_img40', 'jpeg']",a photography of a woman wrapping a christmas present,a woman wrapping a christmas present on a table
"['cat1_img10', 'jpg']",a photography of a person holding a book in their hands,hands in blue gloves holding open book
"['cat1_img26', 'jpeg']",a photography of a ukulei ukulei ukulei ukulei ukulei,a ukule ukule ukule ukule ukule ukule ukule ukule ukule
"['cat1_img71', 'jpeg']",a photography of two pink teddy bears,two stuffed animals sitting on top of a bed
"['cat1_img88', 'jpeg']",a photography of a room with a fan and a table with a radio,a room with a fan and some old furniture
"['cat1_img67', 'jpeg']",a photography of a man filming a video,a man is filming a movie on a trip
"['cat1_img30', 'jpeg']",a photography of a basket of yarn and knitting needles,a basket with yarn and knitting needles on a table
